Size,Method,Threads,Time_Sec
256,Tiled,113,0.000138
256,RowMajor,114,0.000085
256,ColMajor,114,0.000444
256,NumpyStrided,114,0.000109
256,Morton,114,0.000267
256,Tiled,114,0.000140
256,RowMajor,115,0.000086
256,ColMajor,115,0.000646
256,NumpyStrided,115,0.000121
256,Morton,115,0.000285
256,Tiled,115,0.000141
256,RowMajor,116,0.000089
256,ColMajor,116,0.000468
256,NumpyStrided,116,0.000110
256,Morton,116,0.000270
256,Tiled,116,0.000136
256,RowMajor,117,0.000087
256,ColMajor,117,0.000471
256,NumpyStrided,117,0.000108
256,Morton,117,0.000268
256,Tiled,117,0.000099
256,RowMajor,118,0.000087
256,ColMajor,118,0.000459
256,NumpyStrided,118,0.000108
256,Morton,118,0.000290
256,Tiled,118,0.000103
256,RowMajor,119,0.000087
256,ColMajor,119,0.000540
256,NumpyStrided,119,0.000159
256,Morton,119,0.000385
256,Tiled,119,0.000100
256,RowMajor,120,0.000087
256,ColMajor,120,0.000449
256,NumpyStrided,120,0.000124
256,Morton,120,0.000261
256,Tiled,120,0.000128
256,RowMajor,121,0.000084
256,ColMajor,121,0.000448
256,NumpyStrided,121,0.000106
256,Morton,121,0.000262
256,Tiled,121,0.000138
256,RowMajor,122,0.000084
256,ColMajor,122,0.000446
256,NumpyStrided,122,0.000105
256,Morton,122,0.000275
256,Tiled,122,0.000103
256,RowMajor,123,0.000093
256,ColMajor,123,0.000460
256,NumpyStrided,123,0.000115
256,Morton,123,0.000316
256,Tiled,123,0.000160
256,RowMajor,124,0.000126
256,ColMajor,124,0.000527
256,NumpyStrided,124,0.000107
256,Morton,124,0.000267
256,Tiled,124,0.000100
256,RowMajor,125,0.000109
256,ColMajor,125,0.000511
256,NumpyStrided,125,0.000160
256,Morton,125,0.000369
256,Tiled,125,0.000101
256,RowMajor,126,0.000110
256,ColMajor,126,0.000462
256,NumpyStrided,126,0.000120
256,Morton,126,0.000277
256,Tiled,126,0.000141
256,RowMajor,127,0.000090
256,ColMajor,127,0.000464
256,NumpyStrided,127,0.000115
256,Morton,127,0.000324
256,Tiled,127,0.000143
256,RowMajor,128,0.000108
256,ColMajor,128,0.000664
256,NumpyStrided,128,0.000158
256,Morton,128,0.000318
256,Tiled,128,0.000100
256,RowMajor,129,0.000095
256,ColMajor,129,0.000462
256,NumpyStrided,129,0.000111
256,Morton,129,0.000268
256,Tiled,129,0.000118
256,RowMajor,130,0.000087
256,ColMajor,130,0.000470
256,NumpyStrided,130,0.000108
256,Morton,130,0.000266
256,Tiled,130,0.000141
256,RowMajor,131,0.000092
256,ColMajor,131,0.000801
256,NumpyStrided,131,0.000119
256,Morton,131,0.000323
256,Tiled,131,0.000141
256,RowMajor,132,0.000254
256,ColMajor,132,0.000493
256,NumpyStrided,132,0.000109
256,Morton,132,0.000266
256,Tiled,132,0.000101
256,RowMajor,133,0.000087
256,ColMajor,133,0.000528
256,NumpyStrided,133,0.000111
256,Morton,133,0.000271
256,Tiled,133,0.000099
256,RowMajor,134,0.000087
256,ColMajor,134,0.000464
256,NumpyStrided,134,0.000110
256,Morton,134,0.000278
256,Tiled,134,0.000099
256,RowMajor,135,0.000087
256,ColMajor,135,0.000467
256,NumpyStrided,135,0.000112
256,Morton,135,0.000283
256,Tiled,135,0.000120
256,RowMajor,136,0.000085
256,ColMajor,136,0.000468
256,NumpyStrided,136,0.000106
256,Morton,136,0.000263
256,Tiled,136,0.000137
256,RowMajor,137,0.000095
256,ColMajor,137,0.000450
256,NumpyStrided,137,0.000111
256,Morton,137,0.000262
256,Tiled,137,0.000141
256,RowMajor,138,0.000087
256,ColMajor,138,0.000457
256,NumpyStrided,138,0.000111
256,Morton,138,0.000271
256,Tiled,138,0.000097
256,RowMajor,139,0.000085
256,ColMajor,139,0.000441
256,NumpyStrided,139,0.000105
256,Morton,139,0.000260
256,Tiled,139,0.000130
256,RowMajor,140,0.000120
256,ColMajor,140,0.000502
256,NumpyStrided,140,0.000151
256,Morton,140,0.000320
256,Tiled,140,0.000131
256,RowMajor,141,0.000100
256,ColMajor,141,0.000455
256,NumpyStrided,141,0.000121
256,Morton,141,0.000265
256,Tiled,141,0.000100
256,RowMajor,142,0.000148
256,ColMajor,142,0.000455
256,NumpyStrided,142,0.000123
256,Morton,142,0.000280
256,Tiled,142,0.000112
256,RowMajor,143,0.000087
256,ColMajor,143,0.000461
256,NumpyStrided,143,0.000109
256,Morton,143,0.000326
256,Tiled,143,0.000103
256,RowMajor,144,0.000087
256,ColMajor,144,0.000467
256,NumpyStrided,144,0.000131
256,Morton,144,0.000271
256,Tiled,144,0.000099
256,RowMajor,145,0.000088
256,ColMajor,145,0.000495
256,NumpyStrided,145,0.000106
256,Morton,145,0.000266
256,Tiled,145,0.000098
256,RowMajor,146,0.000101
256,ColMajor,146,0.000466
256,NumpyStrided,146,0.000106
256,Morton,146,0.000262
256,Tiled,146,0.000136
256,RowMajor,147,0.000085
256,ColMajor,147,0.000442
256,NumpyStrided,147,0.000106
256,Morton,147,0.000274
256,Tiled,147,0.000098
256,RowMajor,148,0.000085
256,ColMajor,148,0.000464
256,NumpyStrided,148,0.000109
256,Morton,148,0.000267
256,Tiled,148,0.000097
256,RowMajor,149,0.000085
256,ColMajor,149,0.000441
256,NumpyStrided,149,0.000105
256,Morton,149,0.000263
256,Tiled,149,0.000105
256,RowMajor,150,0.000086
256,ColMajor,150,0.000509
256,NumpyStrided,150,0.000108
256,Morton,150,0.000280
256,Tiled,150,0.000147
256,RowMajor,151,0.000085
256,ColMajor,151,0.000453
256,NumpyStrided,151,0.000107
256,Morton,151,0.000296
256,Tiled,151,0.000140
256,RowMajor,152,0.000089
256,ColMajor,152,0.000458
256,NumpyStrided,152,0.000115
256,Morton,152,0.000263
